startDate,endDate,countryName,ISO,location,disasterType,disasterSubtype,totalDeaths,totalAffected,disasterID
00/01/1998,00/00/1998,Fiji,FJI,"Viti Levu, Yasawa, Vanua Levu",Drought,Drought,,263455,1998-9324
00/02/1998,00/02/1998,Guinea,GIN,,Drought,Drought,12,,1998-9330
00/03/1998,00/00/1998,Cabo Verde,CPV,"Praia (Santiago Isl.), Fogo Isl., San Vicente, San Nicolau and Sal.",Drought,Drought,,10000,1998-9346
00/11/1998,00/00/1998,Zimbabwe,ZWE,Southern (Matabeleland),Drought,Drought,,55000,1998-9361
00/04/1998,00/00/1999,Mozambique,MOZ,"Maputo, Gaza, Inhame (south)",Drought,Drought,,,1998-9620
00/00/1998,00/00/2001,Iraq,IRQ,,Drought,Drought,,,1998-9670
00/01/1999,00/01/1999,Australia,AUS,"Victoria, South Australia",Wildfire,"Land fire (Brush, Bush, Pastur",1,2000,1999-0001
3/4/99,3/4/99,China,CHN,"Fenyang, Wenshui (Shanxi Province)",Wildfire,Forest fire,23,,1999-0103
00/01/1999,00/01/1999,Bhutan,BTN,,Wildfire,Forest fire,,,1999-0117
00/04/1999,00/04/1999,India,IND,"Garhwal & Kumaon (districts of Nainital, Almora and Pithoragarh) Level 1 = Uttar Pradesh",Wildfire,Forest fire,6,,1999-0121
00/04/1999,00/04/1999,Russian Federation (the),RUS,"Vladivostok, Kharbarovsk, Birobijan",Wildfire,Forest fire,,,1999-0128
00/03/1999,00/03/1999,Nepal,NPL,,Wildfire,Forest fire,32,4000,1999-0156
12/6/99,12/6/99,Afghanistan,AFG,"Badil, Sholake, Hadwal, Dara Pech (settlements) - Kunar Province",Wildfire,Forest fire,,,1999-0195
00/07/1999,00/07/1999,Russian Federation (the),RUS,"Central, North-Western Siberian And Far-Eastern Regions Of Russian Federation",Wildfire,Forest fire,,,1999-0274
00/06/1999,00/06/1999,Indonesia,IDN,"Sumatra, Kalimantan",Wildfire,Forest fire,,,1999-0342
